SQRT_PSIN,T_E-44.5000-104522
0.000000000000000,1831.542492371431
0.009999999633202186,1831.505609355502
0.01999999926640437,1831.328286027425
0.02999999889960656,1830.781499491065
0.03999999853280874,1829.845977980947
0.04999999816601093,1828.516522876660
0.05999999779921312,1826.788674687371
0.06999999743241531,1824.658818080933
0.07999999706561749,1822.123747729290
0.08999999669881968,1819.181083179086
0.09999999633202186,1815.828575910545
0.1099999959652241,1812.063648158693
0.1199999955984262,1807.884433776998
0.1299999952316284,1803.291851626493
0.1399999948648306,1798.287059183738
0.1499999944980328,1792.870531458112
0.1599999941312350,1787.039299769431
0.1699999937644372,1780.784691347985
0.1799999933976394,1774.096911615084
0.1899999930308416,1766.966078455830
0.1999999926640437,1759.385289030187
0.2099999922972459,1751.350454137775
0.2199999919304481,1742.858407996528
0.2299999915636503,1733.906839254304
0.2399999911968525,1724.497083450252
0.2499999908300547,1714.631814492260
0.2599999904632568,1704.311621188272
0.2699999900964590,1693.536337476745
0.2799999897296612,1682.305417615300
0.2899999893628634,1670.619209231878
0.2999999889960656,1658.482768209309
0.3099999886292678,1645.901723857484
0.3199999882624699,1632.881673588666
0.3299999878956721,1619.430327023839
0.3399999875288743,1605.559378521949
0.3499999871620765,1591.278972459255
0.3599999867952787,1576.595808803209
0.3699999864284809,1561.514614141405
0.3799999860616831,1546.038665562827
0.3899999856948853,1530.172713011571
0.3999999853280874,1513.923322893097
0.4099999849612896,1497.299820248359
0.4199999845944918,1480.313232663408
0.4299999842276940,1462.974365748119
0.4399999838608962,1445.293888532744
0.4499999834940984,1427.282877076211
0.4599999831273006,1408.955425701648
0.4699999827605028,1390.325946198411
0.4799999823937049,1371.406116911958
0.4899999820269071,1352.205354290560
0.4999999816601093,1332.725699069811
0.5099999812933115,1312.967070734668
0.5199999809265137,1292.926107246516
0.5299999805597159,1272.597965304747
0.5399999801929181,1251.975422956395
0.5499999798261203,1231.049132364358
0.5599999794593225,1209.806413084054
0.5699999790925246,1188.232757499615
0.5799999787257268,1166.311940744472
0.5899999783589289,1144.028250578376
0.5999999779921312,1121.366826787194
0.6099999776253333,1098.314644859404
0.6199999772585356,1074.860097707479
0.6299999768917377,1050.993055742812
0.6399999765249399,1026.704206592044
0.6499999761581421,1001.985599515480
0.6599999757913443,976.8296866530255
0.6699999754245464,951.2285596067256
0.6799999750577487,925.1736456306472
0.6899999746909509,898.6528730851352
0.6999999743241530,871.6542938982971
0.7099999739573551,844.1681827271260
0.7199999735905575,816.1883007537194
0.7299999732237595,787.7153826415587
0.7399999728569617,758.7550882118645
0.7499999724901639,729.3188686857819
0.7599999721233662,699.4238978642825
0.7699999717565683,669.0928653387174
0.7799999713897705,638.3555771957699
0.7899999710229726,607.2468966513903
0.7999999706561749,575.8100831448155
0.8099999702893771,544.0938607367965
0.8199999699225792,512.1669761311441
0.8299999695557814,480.1042842981375
0.8399999691889837,447.9902220234575
0.8499999688221859,415.9162014362902
0.8599999684553880,383.9844850525267
0.8699999680885901,352.3169664214313
0.8799999677217925,321.0533075865565
0.8899999673549945,290.3434116458554
0.8999999669881967,260.3412780507963
0.9099999666213988,231.2061907238642
0.9199999662546011,203.1098352375181
0.9299999658878033,176.2349602728649
0.9399999655210055,150.7626530564852
0.9499999651542076,126.8624603385885
0.9599999647874099,104.7098805154840
0.9699999644206121,84.48856202971281
0.9799999640538142,66.37302220169394
0.9899999636870164,50.53637120010431
0.9999999633202187,37.15154055552424
1.009999962953421,26.39097845437607
1.019999962586623,18.41967130504572
1.029999962219825,13.28653190122746
1.039999961853027,9.254488878124151
1.049999961486230,6.084602168092527
1.059999961119432,3.648063303600149
1.069999960752634,1.828313374119090
1.079999960385836,0.5175159951336272
1.089999960019038,0.000000000000000
1.099999959652241,0.000000000000000
1.109999959285443,0.000000000000000
1.119999958918645,0.000000000000000
1.129999958551847,0.000000000000000
1.139999958185049,0.000000000000000
1.149999957818251,0.000000000000000
1.159999957451454,0.000000000000000
1.169999957084656,0.000000000000000
1.179999956717858,0.000000000000000
1.189999956351060,0.000000000000000
1.199999955984262,0.000000000000000
1.209999955617465,0.000000000000000
1.219999955250667,0.006965691107133056
1.229999954883869,0.006333752992512084
1.239999954517071,0.001874221498151070
1.249999954150273,0.000000000000000
1.259999953783475,0.000000000000000
1.269999953416677,0.000000000000000
1.279999953049880,0.000000000000000
1.289999952683082,1.340223200997664E-05
1.299999952316284,1.054632202210130E-05
